HSHD_TYPE_NM,CTPV_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,남부동,24,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,29,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,5,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,8,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,8,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,51,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,22,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,4,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,1,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,8,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,10,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,5,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,8,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,6,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,31,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,2,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,8,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,27,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,14,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,61,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,15,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,4,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,0,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,2,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,1,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,27,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,7,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,덕계동,26,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,덕계동,22,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,덕계동,7,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,덕계동,2,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,덕계동,13,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
