HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD,Unnamed: 19,Unnamed: 20
다세대주택(빌라),경남,양산시,남부동,168,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,383,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,371,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,11,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,116,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,38,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,166,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,57,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,60,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,60,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,204,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,159,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,138,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,90,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,21,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,67,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,80,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,4,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,32,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,23,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,101,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,79,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,35,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,40,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,11,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,90,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,218,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,108,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,93,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,175,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,64,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,69,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,6,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,70,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,333,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,81,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,40,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,108,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,81,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,205,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,74,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,62,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,46,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,66,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,13,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,105,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,61,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,40,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,0,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,43,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,4,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,250,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,22,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,310,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,31,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,59,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,99,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,170,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,17,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,45,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,27,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,245,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,151,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,87,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,29,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,173,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,157,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,96,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,36,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,0,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,75,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,21,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,83,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,100,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,18,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,62,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,75,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,116,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,11,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,98,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,172,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,113,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,254,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,42,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,42,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,140,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,72,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,70,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,99,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,154,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,123,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,167,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,54,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,180,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,54,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,50,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,50,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,87,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,212,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,122,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,14,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,59,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,24,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,24,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,33,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,164,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,123,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,161,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,20,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,28,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,15,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,153,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,84,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
